,ID,lat,long,FieldType,Location,SamplingYear,2016,2017,2018,2019,2020,2021,2022
51,52,46.465608,-119.199148,Non-virgin,Columbia Basin,2022,Alfalfa,Potatoes,Alfalfa,Alfalfa,Sweet Corn,Other Hay/Non Alfalfa,Potatoes
52,53,46.483504,-119.194702,Native,Columbia Basin,2022,Dry Beans,Dry Beans,Alfalfa,Potatoes,Alfalfa,Alfalfa,Alfalfa
53,54,46.892999,-118.839872,Virgin,Columbia Basin,2022,Fallow/Idle Cropland,Winter Wheat,Fallow/Idle Cropland,Winter Wheat,Fallow/Idle Cropland,Winter Wheat,Fallow/Idle Cropland
54,55,46.938088,-118.870733,Non-virgin,Columbia Basin,2022,Winter Wheat,Potatoes,Spring Wheat,Sod/Grass Seed,Peas,Potatoes,Winter Wheat
55,56,46.942174,-118.839316,Native,Columbia Basin,2022,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Shrubland,Grass/Pasture,Grass/Pasture
56,57,48.86816,-122.30595,Virgin,Skagit Valley,2022,Caneberries,Caneberries,Caneberries,Other Tree Crops,Caneberries,Caneberries,Potatoes
57,58,48.88233,-122.30744,Non-virgin,Skagit Valley,2022,Corn,Other Hay/Non Alfalfa,Potatoes,Corn,Corn,Corn,Potatoes
58,59,48.38136,-122.43081,Native,Skagit Valley,2022,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Herbaceous Wetlands,Grass/Pasture
59,60,48.433626,-122.468339,Virgin,Skagit Valley,2022,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Potatoes,Potatoes,Barley,Potatoes
60,61,48.433726,-122.461892,Non-virgin,Skagit Valley,2022,Barley,Other Hay/Non Alfalfa,Barley,Potatoes,Barley,Barley,Potatoes
61,62,48.41043,-122.43212,Native,Skagit Valley,2022,Blueberries,Other Hay/Non Alfalfa,Caneberries,Barley,Barley,Rye,Barley
62,63,48.4406,-122.42581,Virgin,Skagit Valley,2022,Corn,Corn,Hemp,Hemp,Hemp,Hemp,Potatoes
63,64,48.39057,-122.40034,Non-virgin,Skagit Valley,2022,Caneberries,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Corn,Corn,Potatoes,Potatoes
64,65,48.41126,-122.44285,Native,Skagit Valley,2022,Barley,Hemp,Greens,Rye,Sod/Grass Seed,Sod/Grass Seed,Potatoes
65,66,48.43447,-122.40171,Virgin,Skagit Valley,2022,Hemp,Hemp,Sod/Grass Seed,Broccoli,Barley,Developed/High Intensity,Developed/High Intensity
66,67,48.43362,-122.39791,Non-virgin,Skagit Valley,2022,Potatoes,Blueberries,Broccoli,Potatoes,Misc Vegs &amp; Fruits,Barley,Potatoes
67,68,48.42603,-122.40588,Native,Skagit Valley,2022,Herbaceous Wetlands,Blueberries,Sod/Grass Seed,Other Hay/Non Alfalfa,Grass/Pasture,Grass/Pasture,Grass/Pasture
68,69,48.53241,-122.41016,Virgin,Skagit Valley,2022,Fallow/Idle Cropland,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Potatoes
69,70,48.539874,-122.405966,Non-virgin,Skagit Valley,2022,Potatoes,Hemp,Corn,Potatoes,Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,Potatoes
70,71,48.4294,-122.39366,Native,Skagit Valley,2022,Other Hay/Non Alfalfa,Herbaceous Wetlands,Grass/Pasture,Herbaceous Wetlands,Herbaceous Wetlands,Herbaceous Wetlands,Herbaceous Wetlands
71,72,45.8237788,-119.17756,Virgin,Columbia Basin,2022,Shrubland,Shrubland,Shrubland,Grass/Pasture,Grass/Pasture,Grass/Pasture,Grass/Pasture
72,73,45.801239,-119.206495,Non-virgin,Columbia Basin,2022,Other Hay/Non Alfalfa,Potatoes,Peas,Potatoes,Corn,Onions,Peas
73,74,45.80947,-119.23083,Virgin,Columbia Basin,2022,Alfalfa,Alfalfa,Alfalfa,Sod/Grass Seed,Alfalfa,Corn,Potatoes
74,75,45.803999,-119.21277,Non-virgin,Columbia Basin,2022,Alfalfa,Alfalfa,Alfalfa,Alfalfa,Watermelons,Triticale,Triticale
75,76,45.741728,-119.027981,Virgin,Columbia Basin,2022,Shrubland,Shrubland,Fallow/Idle Cropland,Shrubland,Shrubland,Shrubland,Shrubland
76,77,45.767101,-119.114775,Non-virgin,Columbia Basin,2022,Winter Wheat,Peas,Potatoes,Winter Wheat,Fallow/Idle Cropland,Winter Wheat,Potatoes
